order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee,Status,Complain,Refund,Account Number,Phone Number
ORDA07176,9/8/18,15:16:03,Lunch,BK,"[('Fries', 6), ('Chicken', 8)]",328,-37.8007208,144.959719,0,8.245,13.3796597,Delivered,0,0,4604880000000000 ,+1-604-876-4759x38242
ORDI08901,8/2/18,9:10:59,Breakfast,NS,"[('Coffee', 4), ('Cereal', 9)]",219,-37.8207999,144.9794147,0,8.752,13.8302326,Delivered,0,0,5248920000000000 ,001-948-924-1157
ORDI01822,22/1/18,8:40:33,Breakfast,NS,"[('Coffee', 3), ('Eggs', 4)]",110.5,-37.8251688,144.9567901,0,9.734,14.8748241,Delivered,0,0,4390000000000 ,(565)938-7784x08016
ORDY02007,2/1/18,8:00:00,Breakfast,TP,"[('Eggs', 10), ('Coffee', 4), ('Cereal', 5), ('Pancake', 10)]",597.5,-37.7989055,145.011509,1,13.202,7.3285306,Delivered,0,0,180000000000000 ,-2024
ORDY03043,17/4/18,11:22:49,Breakfast,TP,"[('Coffee', 8), ('Eggs', 4), ('Cereal', 1)]",169,-37.8119517,144.9513726,0,9.143,11.1341833,Delivered,0,0,4871160000000000 ,(287)115-8714
ORDX05443,26/3/18,10:42:15,Breakfast,BK,"[('Cereal', 4), ('Eggs', 4)]",172,-37.8013766,144.9743451,0,7.167,17.89299195,Delivered,0,0,3598950000000000 ,(185)839-8947x19659
ORDX06616,6/1/18,8:10:08,Breakfast,BK,"[('Pancake', 10), ('Cereal', 4)]",326.5,-37.8002952,144.9706506,1,7.536,7.3275281,Delivered,0,0,4947110000000000 ,232.094.7112
ORDZ08209,29/4/18,11:53:14,Breakfast,NS,"[('Eggs', 9), ('Coffee', 7)]",250.5,-37.8023724,144.9595655,0,7.286,21.07026015,Delivered,0,0,3596950000000000 ,+1-018-684-8339x69477
ORDX06088,7/8/18,15:16:03,Lunch,BK,"[('Chicken', 9), ('Steak', 5), ('Fries', 10), ('Salad', 5), ('Burger', 8)]",967,-37.8148844,144.9376827,0,9.936,16.0653598,Delivered,0,0,36300000000000 ,515.917.9533x04135
ORDZ11061,30/6/18,13:54:55,Lunch,NS,"[('Fries', 6), ('Burger', 6), ('Steak', 4)]",438,-37.8056197,144.9537607,0,8.143,15.43654,Delivered,0,0,3530990000000000 ,+1-560-123-0989x101
ORDB03296,8/7/18,14:15:12,Lunch,TP,"[('Steak', 2), ('Chicken', 4)]",218,-37.819881,144.9612829,0,7.58,12.1980008,Delivered,0,0,2610900000000000 ,991.615.1090x3217
ORDX08114,24/8/18,15:46:28,Lunch,BK,"[('Steak', 9), ('Salad', 7)]",525.4,-37.8175855,144.9689222,0,7.755,13.8047822,Delivered,0,0,36100000000000 ,(008)691-4131
ORDJ10022,16/5/18,12:23:39,Lunch,TP,"[('Burger', 3), ('Steak', 2), ('Chicken', 2), ('Fries', 5), ('Salad', 6)]",410.2,-37.8144278,144.9744102,0,8.416,11.7905958,Delivered,0,0,30600000000000 ,562.087.0916x34579
ORDX02418,6/6/18,13:04:13,Lunch,BK,"[('Steak', 7), ('Salad', 1), ('Burger', 7)]",549.2,-37.7998978,144.990086,0,6.128,12.2279366,Delivered,0,0,4419720000000000 ,(302)258-4197
ORDB06275,30/3/18,10:52:23,Breakfast,TP,"[('Cereal', 7), ('Eggs', 1), ('Pancake', 8), ('Coffee', 1)]",370.5,-37.8071155,144.9598682,0,8.875,11.7441614,Delivered,0,0,2371510000000000 ,076.984.5642x80715
ORDB08980,21/3/18,10:32:06,Breakfast,TP,"[('Cereal', 7), ('Pancake', 3)]",219.75,-37.8140793,144.9601084,0,8.343,10.8945634,Delivered,0,0,38900000000000 ,001-842-375-9459
ORDZ01069,23/3/18,10:32:06,Breakfast,NS,"[('Cereal', 5), ('Coffee', 9), ('Pancake', 9)]",390.75,-37.8004816,144.95821,0,7.294,11.8996581,Delivered,0,0,4696070000000000 ,001-924-661-0935x2337
ORDB05726,31/7/18,14:55:46,Lunch,TP,"[('Burger', 5), ('Chicken', 7), ('Salad', 7), ('Steak', 3)]",634.4,-37.8019853,144.9713861,0,9.866,13.1227696,Delivered,0,0,6011890000000000 ,960-696-0271x4278
ORDB00108,28/2/18,9:51:32,Breakfast,TP,"[('Pancake', 5), ('Cereal', 5), ('Coffee', 2), ('Eggs', 10)]",461.25,-37.8204506,144.998821,0,10.519,12.6049043,Delivered,0,0,6512070000000000 ,001-890-075-4706x381
ORDY09697,4/7/18,14:05:04,Lunch,TP,"[('Burger', 7), ('Chicken', 6), ('Steak', 9), ('Salad', 2)]",848.4,-37.8218293,144.9522232,0,8.449,12.1517356,Delivered,0,0,4344220000000000 ,+1-206-650-3008x9131
ORDJ10517,9/6/18,13:14:21,Lunch,TP,"[('Steak', 4), ('Fries', 3), ('Chicken', 3), ('Burger', 7)]",529,-37.7998391,144.9265225,0,11.764,16.0627496,Delivered,0,0,36500000000000 ,344.217.6104x7142
ORDC09956,7/3/18,10:01:41,Breakfast,NS,"[('Pancake', 9), ('Cereal', 10), ('Coffee', 1), ('Eggs', 6)]",567.75,-37.8051575,144.9682948,0,6.707,11.7937379,Delivered,0,0,3509780000000000 ,512.400.0348x55909
ORDB06158,1/10/18,16:57:27,Dinner,TP,"[('Fish&Chips', 6), ('Salmon', 5)]",415,-37.7989183,144.9441439,0,10.786,14.6367595,Delivered,0,0,2226520000000000 ,765.823.6940x22455
ORDI01895,18/11/18,18:38:52,Dinner,NS,"[('Salmon', 4), ('Pasta', 8), ('Fish&Chips', 5), ('Shrimp', 7)]",937,-37.8226651,145.0152877,0,11.783,19.6902224,Delivered,0,0,4241730000000000000 ,+1-159-004-2294x568
ORDK05045,28/3/18,10:52:23,Breakfast,BK,"[('Eggs', 10), ('Coffee', 9)]",287.5,-37.8053892,144.9255009,0,11.16,16.1326833,Delivered,0,0,6010000000000000 ,173-042-8146
ORDY02567,7/12/18,19:19:26,Dinner,TP,"[('Pasta', 1), ('Salmon', 3)]",150.5,-37.8108364,144.988188,0,9.877,13.9976396,Delivered,0,0,3561110000000000 ,+1-461-187-7551x7176
ORDX03986,3/11/18,18:08:27,Dinner,BK,"[('Pasta', 9), ('Shrimp', 3), ('Fish&Chips', 10)]",759.5,-37.8101255,144.9960895,0,4.481,13.6802416,Delivered,0,0,4940000000000 ,5229611133
ORDC04729,14/10/18,17:27:53,Dinner,NS,"[('Pasta', 7), ('Salmon', 4), ('Fish&Chips', 3), ('Shrimp', 3)]",623.5,-37.8149493,144.9645132,0,8.112,16.3645946,Delivered,0,0,4087320000000000000 ,168847793
ORDC10381,15/3/18,10:21:58,Breakfast,NS,"[('Coffee', 5), ('Cereal', 3), ('Eggs', 3)]",166.5,-37.8034982,144.9486654,0,8.425,13.3017764,Delivered,0,0,4197300000000000000 ,534-926-3511x08731
ORDC02707,27/9/18,16:57:27,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 3), ('Salmon', 4)]",316.5,-37.8083253,144.9434194,0,9.237,23.50682145,Delivered,0,0,4550820000000000000 ,(430)392-1376x5821
ORDX00091,30/10/18,17:58:18,Dinner,BK,"[('Pasta', 3), ('Fish&Chips', 3), ('Salmon', 3)]",310.5,-37.8216454,144.9944913,0,5.661,11.9582622,Cancelled,0,0,4075230000000000 ,001-729-668-7577x38930
ORDY08168,5/9/18,16:06:45,Dinner,TP,"[('Fish&Chips', 4), ('Salmon', 5), ('Pasta', 9), ('Shrimp', 10)]",1132.5,-37.8124129,144.9517593,0,11.757,15.5521697,Delivered,1,1,180000000000000 ,097-951-9426
ORDI03792,14/9/18,16:27:02,Dinner,NS,"[('Salmon', 6), ('Fish&Chips', 4), ('Pasta', 1)]",413.5,-37.7999943,144.9545339,0,7.561,13.7029721,Delivered,0,0,30100000000000 ,+1-801-320-4075x227
ORDI07779,11/2/18,9:21:07,Breakfast,NS,"[('Eggs', 8), ('Pancake', 2)]",224.5,-37.8160461,144.9722204,0,7.902,14.8608318,Delivered,0,0,4466600000000000 ,001-868-809-1891x63489
ORDI02884,7/9/18,16:16:54,Dinner,NS,"[('Salmon', 10), ('Pasta', 4)]",520,-37.8215333,144.9779585,0,8.846,15.0558007,Delivered,0,0,2709130000000000 ,769-930-0248x94517
ORDC08673,26/9/18,16:47:19,Dinner,NS,"[('Shrimp', 8), ('Fish&Chips', 5)]",607,-37.8209904,144.9552987,0,9.399,15.2696249,Delivered,0,0,341000000000000 ,+1-466-602-2345x00762
ORDK06659,11/2/18,9:21:07,Breakfast,BK,"[('Cereal', 1), ('Eggs', 10), ('Pancake', 5)]",362.25,-37.810201,144.9695499,0,6.974,21.9438798,Delivered,0,0,4795190000000000 ,(912)560-9767x0172
ORDX03428,30/4/18,11:53:14,Breakfast,BK,"[('Cereal', 5), ('Coffee', 5), ('Pancake', 2), ('Eggs', 6)]",323,-37.815528,144.9635641,0,7.94,12.2932325,Delivered,0,0,378000000000000 ,9925185367
ORDZ03600,10/11/18,18:18:35,Dinner,NS,"[('Salmon', 6), ('Shrimp', 9)]",732,-37.8179153,144.9484878,0,8.794,16.6202238,Delivered,1,1,180000000000000 ,097-951-9426
ORDJ06560,11/7/18,14:15:12,Lunch,TP,"[('Salad', 5), ('Burger', 4), ('Steak', 8)]",570,-37.8180792,144.9946677,0,10.109,14.0042971,Delivered,0,0,2507660000000000 ,+1-183-067-5375x100
ORDY02676,21/12/18,19:39:43,Dinner,TP,"[('Pasta', 7), ('Fish&Chips', 4), ('Salmon', 8)]",660.5,-37.8150056,144.932818,0,11.107,14.8636458,Delivered,0,0,213000000000000 ,(089)933-1886x8412
ORDC10572,24/1/18,8:40:33,Breakfast,NS,"[('Coffee', 7), ('Eggs', 2), ('Cereal', 5)]",201.5,-37.825214,144.976015,0,9.305,13.9711291,Delivered,0,0,30500000000000 ,961-161-1620x76607
ORDJ05169,27/4/18,11:53:14,Breakfast,TP,"[('Pancake', 2), ('Coffee', 8), ('Eggs', 6), ('Cereal', 8)]",408.5,-37.8233885,144.9680947,0,7.893,10.7820675,Delivered,0,0,2234200000000000 ,001-541-511-5055x203
ORDB00395,8/8/18,15:16:03,Lunch,TP,"[('Salad', 7), ('Steak', 5)]",345.4,-37.8010339,144.9631536,0,9.707,13.0296237,Delivered,0,0,30100000000000 ,+1-192-303-1045x0932
ORDB07386,14/1/18,8:20:16,Breakfast,TP,"[('Cereal', 7), ('Coffee', 8)]",207,-37.8179153,144.9484878,1,9.054,6.9314047,Cancelled,0,0,4456030000000000 ,(175)420-3557
ORDI03188,8/12/18,19:19:26,Dinner,NS,"[('Pasta', 2), ('Salmon', 8), ('Fish&Chips', 4), ('Shrimp', 7)]",901,-37.8208592,144.9481191,0,9.767,18.1744963,Delivered,0,0,380000000000000 ,001-485-291-1894x26223
